,game_id,team,opponent,season,game_number,margin,margin_against,epa,epa_against,epa_net,epa_net_opponent,wepa,d_wepa,wepa_net,wepa_against,d_wepa_against,wepa_net_opponent,wepa_net_normalized
0,1999_01_ARI_PHI,ARI,PHI,1999,1,1.0,-1.0,-9.752558,-14.332209,4.579651,-4.579651,-4.5822106971562135,-6.610574881323805,2.0283641841675912,-10.325299730999527,-1.7214906501047855,-8.603809080894742,2.3697850573004677
1,1999_02_ARI_MIA,ARI,MIA,1999,2,-3.0,3.0,-15.449048,-15.0865965,-0.36245155,0.36245155,-12.054361113849955,-5.921147111681867,-6.1332140021680885,-10.492071172101458,-7.349376554135245,-3.142694617966213,-6.412515059899061
2,1999_03_SF_ARI,ARI,SF,1999,3,-14.0,14.0,-8.895654,8.336429,-17.232082,17.232082,-5.99977612671405,5.334514300248661,-11.33429042696271,6.072853333485462,-3.1823643972813933,9.255217730766855,-12.009154956274958
3,1999_04_ARI_DAL,ARI,DAL,1999,4,-28.0,28.0,-28.241117,-0.6811371,-27.55998,27.55998,-20.254034674365023,0.5663417346120019,-20.820376408977026,0.9841155360835505,-13.264568180581573,14.248683716665123,-22.216697190090503
4,1999_05_NYG_ARI,ARI,NYG,1999,5,11.0,-11.0,-8.269471,-18.257458,9.987987,-9.987987,-8.465445101414808,-11.656915600083575,3.1914704986687674,-16.473658794753177,-5.9746763544603585,-10.498982440292819,3.6213504395032605
5,1999_06_WAS_ARI,ARI,WAS,1999,6,-14.0,14.0,-9.811447,6.970519,-16.781967,16.781967,-9.623235267305892,6.9155161306316035,-16.538751397937496,8.3229576253752,-5.526426271735749,13.849383897110949,-17.609436807630164
6,1999_08_NE_ARI,ARI,NE,1999,7,-24.0,24.0,-21.017447,5.2875495,-26.304996,26.304996,-20.12325578541094,3.8202442347046937,-23.943500020115636,5.416615526156886,-13.317997528404431,18.73461305456132,-25.577347327836193
7,1999_09_ARI_NYJ,ARI,NYJ,1999,8,-5.0,5.0,-14.621897,-10.457157,-4.1647396,4.1647396,-13.182408599106276,-7.555275534857977,-5.627133064248299,-10.270625136393365,-9.738704158862003,-0.531920977531362,-5.867944563981175
8,1999_10_DET_ARI,ARI,DET,1999,9,4.0,-4.0,-4.0665016,-5.8998156,1.833314,-1.833314,-1.6318459523071427,-3.6293314345962138,1.997485482289071,-4.625555367397897,-0.8228263544347708,-3.8027290129631264,2.3365579018489986
9,1999_11_DAL_ARI,ARI,DAL,1999,10,4.0,-4.0,-4.5607877,-7.634303,3.0735154,-3.0735154,-3.927525503168212,-5.515768827181798,1.588243324013586,-7.905791144089577,-2.033142977055739,-5.872648167033838,1.896191177113935
10,1999_12_ARI_NYG,ARI,NYG,1999,11,10.0,-10.0,2.7831054,-10.424005,13.207109,-13.207109,3.929068017918423,-1.6740938761101747,5.603161894028598,-5.126752877308458,3.37562800844889,-8.502380885757347,6.216460985595701
11,1999_13_PHI_ARI,ARI,PHI,1999,12,4.0,-4.0,-5.476832,-7.890998,2.414166,-2.414166,-3.2255768705512753,-1.3525414154821762,-1.873035455069099,-3.410021829339855,-1.3801597813548692,-2.029862047984986,-1.8283322340678858
12,1999_14_ARI_WAS,ARI,WAS,1999,13,-25.0,25.0,-17.005903,7.0765514,-24.082455,24.082455,-13.696571388358388,7.39472108826809,-21.091292476626478,9.299090934411932,-8.242689093804819,17.54178002821675,-22.508217550289032
13,1999_15_BUF_ARI,ARI,BUF,1999,14,-10.0,10.0,4.3279843,17.175482,-12.847498,12.847498,3.710705366212107,14.89238934017264,-11.181683973960533,18.659818385496777,3.1341032754134943,15.525715110083283,-11.844942148471405
14,1999_16_ARI_ATL,ARI,ATL,1999,15,-23.0,23.0,-3.243638,19.36442,-22.608059,22.608059,-1.5956352035069457,13.990754959360537,-15.586390162867483,19.063413882658935,-0.6623729976967877,19.725786880355724,-16.584644543754685
15,1999_17_ARI_GB,ARI,GB,1999,16,-25.0,25.0,5.174747,28.158972,-22.984224,22.984224,8.325848274260757,20.902464070128797,-12.57661579586804,27.163933714987387,7.4588340660655374,19.70509964892185,-13.345964331109329
16,2000_01_ARI_NYG,ARI,NYG,2000,1,-5.0,5.0,1.7240715,5.656098,-3.9320264,3.9320264,3.8904727863946285,5.858858740535613,-1.9683859541409845,7.700093897498581,4.290160226649112,3.409933670849469,-1.9309345347572358
17,2000_02_DAL_ARI,ARI,DAL,2000,2,1.0,-1.0,11.853323,13.498592,-1.6452694,1.6452694,13.203084474077817,12.07081046851695,1.132274005560868,15.70985512565685,9.855594925109502,5.854260200547348,1.405543497527766
18,2000_04_GB_ARI,ARI,GB,2000,3,-26.0,26.0,-12.602407,18.344944,-30.947351,30.947351,-10.145010763815856,14.043946826457194,-24.18895759027305,18.641413613758502,-5.8393605387402605,24.48077415249876,-25.841472966033237
19,2000_05_ARI_SF,ARI,SF,2000,4,-7.0,7.0,-1.3552703,3.001426,-4.356696,4.356696,1.6138523635105997,3.172808625147307,-1.5589562616367074,3.8330941099477336,1.2459923403992463,2.5871017695484873,-1.4903660130361123
20,2000_06_CLE_ARI,ARI,CLE,2000,5,8.0,-8.0,11.860519,5.4305506,6.429969,-6.429969,12.809847103319315,2.6573162680677953,10.15253083525152,3.0888168677904324,9.816267047369918,-6.727450179579485,11.11182833655459
21,2000_07_PHI_ARI,ARI,PHI,2000,6,-19.0,19.0,0.70480275,23.318604,-22.6138,22.6138,3.68532483954913,16.847645432958195,-13.162320593409065,22.777484433591738,3.6325554615961884,19.14492897199555,-13.976214411994519
22,2000_08_ARI_DAL,ARI,DAL,2000,7,-41.0,41.0,-19.998112,20.888239,-40.886353,40.886353,-16.87888617016487,15.09171121774766,-31.970597387912527,20.734127959981507,-11.206257717321083,31.94038567730259,-34.21493880150503
23,2000_09_NO_ARI,ARI,NO,2000,8,-11.0,11.0,-5.8489447,7.0729594,-12.921904,12.921904,-1.2014552800166793,4.424719718106778,-5.6261749981234574,5.141914871991033,0.08155496356219327,5.06035990842884,-5.866913632946958
24,2000_10_WAS_ARI,ARI,WAS,2000,9,1.0,-1.0,-5.6344733,-3.5378184,-2.096655,2.096655,-3.4147983368733943,2.45993905350743,-5.874737390380824,2.791709757108107,-1.3699841440913665,4.161693901199474,-6.134380227864595
25,2000_11_ARI_MIN,ARI,MIN,2000,10,-17.0,17.0,0.031269073,16.685375,-16.654106,16.654106,0.8492963962933986,14.230929410487098,-13.3816330141937,18.7624084876624,1.4436390607937903,17.318769426868613,-14.212206453580897
26,2000_12_ARI_PHI,ARI,PHI,2000,11,-25.0,25.0,-11.766949,9.001688,-20.768637,20.768637,-10.717983249616845,7.4992013078029105,-18.217184557419756,9.734703520040414,-6.55729502570957,16.291998545749983,-19.41552178245912
27,2000_13_NYG_ARI,ARI,NYG,2000,12,-24.0,24.0,-13.497847,14.231765,-27.72961,27.72961,-9.86590350214439,11.154352829767337,-21.020256331911725,15.007694722258181,-6.058039154231331,21.06573387648951,-22.431778811627154
28,2000_14_ARI_CIN,ARI,CIN,2000,13,-11.0,11.0,0.9020556,10.331732,-9.429676,9.429676,2.1411887436636974,7.239012657007349,-5.097823913343651,9.783645352191883,1.7276676797445218,8.05597767244736,-5.298379252972161
